id,true_cluster,Y1,Y2,Y3
230,2,0,6,2
231,2,1,3,2
232,2,0,9,2
233,2,1,4,5
234,2,2,7,3
235,2,1,7,7
236,2,1,10,3
237,1,5,1,9
238,2,2,6,2
239,2,0,3,5
240,2,3,10,3
241,2,0,11,5
242,2,1,7,2
243,1,4,0,7
244,1,7,3,11
245,1,5,1,8
246,2,0,10,3
247,2,1,7,2
248,1,3,3,11
249,1,10,0,9
250,1,4,3,12
251,2,0,6,2
252,2,0,5,2
253,2,2,10,1
254,2,1,9,1
255,2,3,4,4
256,1,5,2,8
257,2,1,5,2
258,1,2,3,10
259,2,1,6,4
260,2,0,5,6
261,2,1,5,5
262,1,3,0,12
263,1,1,2,10
264,2,3,8,8
265,1,6,1,9
266,1,3,2,14
267,1,0,1,13
268,2,2,10,4
269,2,0,7,5
270,1,6,3,8
271,2,0,9,4
272,1,5,3,8
273,1,3,2,11
274,2,3,6,3
275,1,5,3,9
276,2,3,13,4
277,1,4,2,13
278,1,0,4,8
279,2,0,11,2
280,2,0,6,1
281,2,1,10,5
282,2,1,9,1
283,1,3,3,10
284,1,6,1,14
285,1,3,1,11
286,1,3,4,6
287,1,9,3,13
288,1,8,1,9
289,2,0,4,5
290,2,0,5,7
291,2,2,12,2
292,2,3,4,2
293,2,2,5,2
294,2,0,2,3
295,2,1,5,2
296,2,3,8,2
297,1,4,1,9
298,2,1,4,4
299,1,7,1,8
300,2,0,10,5
301,1,6,0,9
302,2,0,5,5
303,2,0,7,0
304,2,1,12,6
305,1,1,4,8
306,2,1,7,3
307,1,6,2,11
308,2,0,8,7
309,1,3,0,12
310,2,1,5,3
311,1,3,2,7
312,2,2,6,2
313,1,7,0,12
314,1,4,2,9
315,2,2,2,3
316,1,1,2,7
317,2,0,11,2
318,2,0,10,2
319,2,1,4,4
320,2,0,6,1
321,2,2,5,4
322,1,4,1,9
323,1,4,2,11
324,2,0,4,3
325,2,1,7,3
326,2,0,9,2
327,1,6,0,8
328,2,1,8,2
329,2,2,9,5
330,1,3,3,12
331,2,0,7,0
332,1,5,1,12
333,1,6,3,10
334,2,1,9,6
335,2,0,4,2
336,2,2,9,2
337,2,3,12,4
338,2,0,10,3
339,2,1,7,2
340,2,0,7,2
341,1,5,5,4
342,2,1,4,0
343,2,1,7,3
344,1,5,3,10
345,1,6,1,3
346,1,4,2,15
347,1,5,3,13
348,1,6,3,9
349,1,4,3,9
350,2,1,1,3
351,1,2,3,10
352,2,1,10,2
353,2,0,4,4
354,1,8,3,10
355,1,4,2,7
356,2,0,11,2
357,2,1,8,4
358,1,8,5,10
359,2,0,2,2
360,2,0,7,3
361,2,3,10,7
362,1,2,2,10
363,1,7,0,11
364,1,4,1,6
365,2,0,6,1
366,1,7,1,8
367,1,2,1,6
368,2,1,4,4
369,2,1,9,2
370,2,1,5,5
371,1,8,0,18
372,1,6,0,8
373,1,9,4,11
374,2,2,4,4
375,1,6,2,8
376,2,1,4,2
377,2,2,11,5
378,1,3,1,13
379,2,1,8,7
380,2,0,7,5
381,2,1,1,2
382,2,1,7,3
383,2,0,9,4
384,2,1,11,5
385,1,4,0,7
386,1,7,6,10
387,1,3,2,6
388,1,5,2,8
389,2,1,8,3
390,2,0,13,5
391,1,4,5,12
392,1,2,0,6
393,2,1,8,5
394,2,0,7,2
395,1,6,3,7
396,2,0,6,1
397,2,0,8,2
398,2,1,4,3
399,2,1,11,1
400,2,0,10,3
401,1,5,1,8
402,1,0,2,11
403,1,6,0,7
404,2,1,7,2
405,2,2,5,0
406,2,1,8,1
407,2,0,5,3
408,2,1,7,1
409,2,1,2,1
410,2,2,5,3
411,2,1,4,1
412,2,0,7,3
413,1,5,2,10
414,2,0,8,7
415,2,0,7,4
416,1,4,2,5
417,2,1,8,3
418,1,4,2,9
419,2,0,5,2
420,2,1,3,5
421,1,4,2,9
422,2,1,12,2
423,2,1,3,2
424,2,1,5,1
425,1,4,3,9
426,1,1,3,9
427,2,0,6,3
428,2,0,5,0
429,2,1,4,2
430,1,4,3,16
431,1,10,0,8
432,2,1,11,3
433,2,1,5,3
434,2,1,8,4
435,2,6,9,1
436,2,2,3,3
437,1,3,0,8
438,1,6,3,11
439,2,0,6,2
440,2,0,7,3
441,2,2,10,3
442,2,0,9,0
443,2,2,7,4
444,2,1,4,4
445,2,3,5,2
446,2,1,3,3
447,2,0,4,0
448,2,3,11,4
449,1,3,2,9
450,2,2,5,2
451,2,0,8,5
452,1,3,2,17
453,1,5,0,8
454,2,1,4,2
455,1,3,5,13
456,2,1,11,3
457,2,2,12,4
458,2,2,6,4
459,2,2,6,4
460,1,6,2,5
461,2,1,5,3
462,2,0,10,0
463,1,4,3,13
464,2,3,5,1
465,1,6,1,12
466,1,4,3,9
467,2,0,6,2
468,2,1,10,4
469,2,2,4,5
470,2,0,10,3
471,2,1,6,3
472,1,1,0,9
473,2,0,8,3
474,1,4,4,11
475,2,1,10,1
476,2,1,9,2
477,1,4,1,9
478,2,1,6,3
479,2,1,12,0
480,2,0,5,2
481,1,4,2,11
482,2,0,10,3
483,2,0,6,1
484,1,5,2,9
485,2,0,8,5
486,1,6,2,5
487,2,0,6,3
488,2,2,6,6
489,2,0,8,5
490,2,2,6,1
491,2,2,3,3
492,2,0,9,2
493,1,3,1,9
494,2,1,5,1
495,2,1,7,5
496,2,0,6,4
497,1,3,2,12
498,1,9,0,5
499,2,0,9,1
500,1,3,2,12
