id,true_cluster,Y1,Y2,Y3
324,2,1,8,3
325,2,0,7,2
326,2,1,17,5
327,1,5,3,2
328,2,0,8,1
329,2,0,4,4
330,1,12,2,6
331,2,0,3,4
332,1,3,2,9
333,1,4,1,28
334,2,1,2,7
335,2,0,24,6
336,2,2,4,4
337,2,0,5,3
338,2,0,17,6
339,2,1,3,3
340,2,0,1,3
341,1,2,2,5
342,2,0,2,3
343,2,0,5,1
344,1,10,2,25
345,1,7,2,11
346,1,7,4,9
347,1,6,1,18
348,1,1,1,10
349,1,5,1,3
350,2,1,16,1
351,1,11,2,5
352,2,2,15,3
353,2,0,3,2
354,1,2,1,11
355,1,4,0,4
356,2,3,5,4
357,2,1,3,1
358,1,1,1,10
359,2,1,14,1
360,2,1,9,2
361,2,5,13,5
362,1,1,1,12
363,1,8,4,26
364,1,6,0,3
365,2,1,3,3
366,1,1,3,19
367,1,10,3,3
368,2,0,4,2
369,2,1,12,6
370,2,1,2,4
371,1,6,2,29
372,1,4,3,16
373,1,3,2,4
374,2,1,4,7
375,1,9,1,13
376,2,1,6,2
377,2,2,5,3
378,1,5,1,13
379,2,1,5,2
380,2,1,14,2
381,2,3,15,3
382,2,2,9,5
383,2,0,8,6
384,2,2,4,4
385,1,9,4,15
386,1,5,2,15
387,1,5,2,9
388,1,5,3,20
389,2,1,6,4
390,2,1,2,8
391,1,5,0,14
392,1,4,0,13
393,2,1,5,1
394,2,2,4,0
395,1,5,1,19
396,2,2,10,7
397,2,0,13,0
398,2,1,6,2
399,2,0,5,4
400,2,3,11,7
401,1,4,1,4
402,1,8,2,14
403,1,5,3,5
404,2,2,8,1
405,2,1,6,3
406,2,1,12,2
407,2,1,4,6
408,2,0,12,6
409,2,3,4,5
410,2,1,11,1
411,2,0,2,3
412,2,2,2,4
413,1,3,2,11
414,2,2,27,2
415,2,1,11,1
416,1,6,5,12
417,2,2,0,2
418,1,8,1,9
419,2,1,0,2
420,2,0,2,1
421,1,5,4,15
422,2,1,9,1
423,2,4,7,5
424,2,0,5,7
425,1,1,2,13
426,1,16,6,15
427,2,0,3,5
428,2,0,12,8
429,2,0,6,5
430,1,10,5,26
431,1,1,2,12
432,2,3,16,3
433,2,2,16,0
434,2,2,12,2
435,2,2,13,2
436,2,1,8,4
437,1,6,10,13
438,1,2,0,4
439,2,1,6,2
440,2,3,11,2
441,2,0,7,3
442,2,0,7,0
443,2,1,7,3
444,2,0,4,4
445,2,1,6,3
446,2,0,9,3
447,2,0,1,2
448,2,0,18,3
449,1,3,1,17
450,2,1,5,4
451,2,1,3,0
452,1,3,3,21
453,1,3,0,42
454,2,1,7,2
455,1,7,1,5
456,2,4,14,1
457,2,1,16,7
458,2,2,7,7
459,2,0,5,4
460,1,6,2,7
461,2,0,15,0
462,2,2,21,4
463,1,6,6,17
464,2,3,5,3
465,1,4,0,3
466,1,4,1,5
467,2,0,2,1
468,2,1,10,5
469,2,1,7,2
470,2,0,11,4
471,2,2,4,5
472,1,11,2,9
473,2,5,6,2
474,1,7,3,3
475,2,0,6,0
476,2,0,5,2
477,1,1,0,8
478,2,0,14,1
479,2,1,5,2
480,2,1,1,3
481,1,5,1,10
482,2,0,4,4
483,2,0,6,1
484,1,2,2,2
485,2,2,2,2
486,1,10,3,7
487,2,2,2,3
488,2,0,10,8
489,2,0,5,7
490,2,1,11,1
491,2,2,8,5
492,2,2,6,3
493,1,10,2,4
494,2,3,17,3
495,2,0,3,2
496,2,1,18,4
497,1,10,2,6
498,1,4,0,6
499,2,1,18,4
500,1,10,3,35
